text,bio,pola
感 觉 速 度 还 可 以,O O B-ASP I-ASP O O O,0 0 1 1 0 0 0
把 视 觉 效 果 全 部 调 到 最 高,O B-ASP I-ASP I-ASP I-ASP O O O O O O,0 1 1 1 1 0 0 0 0 0 0
这 款 机 器 散 热 做 的 还 可 以,O O O O B-ASP I-ASP O O O O O,0 0 0 0 1 1 0 0 0 0 0
感 觉 键 盘 手 感 还 不 错,O O B-ASP I-ASP I-ASP I-ASP O O O,0 0 1 1 1 1 0 0 0
触 摸 板 比 较 灵 敏,B-ASP I-ASP I-ASP O O O O,1 1 1 0 0 0 0
转 动 时 声 音 不 大,O O O B-ASP I-ASP O O,0 0 0 1 1 0 0
虽 然 的 效 果 也 还 可 以,O O O B-ASP I-ASP O O O O,0 0 0 1 1 0 0 0 0
感 觉 外 壳 的 抗 压 能 力 一 般,O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O,0 0 -1 -1 -1 -1 -1 -1 -1 0 0
边 框 也 有 一 点 偏 软,B-ASP I-ASP O O O O O O,-1 -1 0 0 0 0 0 0
光 驱 的 按 钮 很 松,B-ASP I-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 -1 0 0
接 口 不 够,B-ASP I-ASP O O,-1 -1 0 0
音 箱 一 般,B-ASP I-ASP O O,-1 -1 0 0
声 音 效 果 也 就 一 般,B-ASP I-ASP I-ASP I-ASP O O O O,-1 -1 -1 -1 0 0 0 0
几 个 口 感 觉 过 于 紧 了,O O B-ASP O O O O O O,0 0 -1 0 0 0 0 0 0
发 现 硬 盘 开 始 作 响,O O B-ASP I-ASP O O O O,0 0 -1 -1 0 0 0 0
屏 幕 效 果 一 流,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
软 件 支 持 丰 富 且 实 用,B-ASP I-ASP O O O O O O O,1 1 0 0 0 0 0 0 0
触 摸 板 驱 动 功 能 丰 富,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 1 1 1 0 0
两 个 小 音 箱 音 量 不 错,O O B-ASP I-ASP I-ASP I-ASP I-ASP O O,0 0 1 1 1 1 1 0 0
至 少 声 音 部 分 比 我 预 期 的 好,O O B-ASP I-ASP O O O O O O O O,0 0 1 1 0 0 0 0 0 0 0 0
无 线 信 号 接 受 能 力 确 实 比 一 半 本 本 强,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O O O O O O,1 1 1 1 1 1 1 1 0 0 0 0 0 0 0 0
发 热 比 较 厉 害,B-ASP I-ASP O O O O,-1 -1 0 0 0 0
部 分 设 计 不 合 理,O O B-ASP I-ASP O O O,0 0 -1 -1 0 0 0
电 池 使 用 时 间 太 短,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 -1 -1 0 0
重 量 太 大 啦,B-ASP I-ASP O O O,-1 -1 0 0 0
具 体 配 置 上 可 谓 相 当 的 强 悍,O O B-ASP I-ASP O O O O O O O O,0 0 1 1 0 0 0 0 0 0 0 0
显 示 效 果 引 人 入 胜,B-ASP I-ASP I-ASP I-ASP O O O O,1 1 1 1 0 0 0 0
甚 至 在 背 光 灯 的 均 匀 度 上 都 表 现 不 错,O O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O O O O,0 0 0 1 1 1 1 1 1 1 0 0 0 0 0 0
的 接 口 相 当 齐 全,O B-ASP I-ASP O O O O,0 1 1 0 0 0 0
的 触 摸 板 设 计 非 常 有 特 色,O B-ASP I-ASP I-ASP I-ASP I-ASP O O O O O,0 1 1 1 1 1 0 0 0 0 0
在 使 用 过 程 中 发 现 的 触 摸 板 非 常 实 用,O O O O O O O O O B-ASP I-ASP I-ASP O O O O,0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0
尤 其 是 其 操 控 性 绝 对 要 比 触 摸 板 侧 面 滑 动 要 有 优 点,O O O O B-ASP I-ASP I-ASP O O O O O O O O O O O O O O O,0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
使 得 的 块 头 比 较 大,O O O B-ASP I-ASP O O O,0 0 0 -1 -1 0 0 0
键 盘 手 感 偏 软,B-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 0 0
表 壳 的 漆 面 感 觉 一 般,B-ASP I-ASP I-ASP I-ASP I-ASP O O O O,-1 -1 -1 -1 -1 0 0 0 0
音 质 不 是 很 令 人 满 意,B-ASP I-ASP O O O O O O O,-1 -1 0 0 0 0 0 0 0
音 量 偏 小,B-ASP I-ASP O O,-1 -1 0 0
散 热 控 制 能 力 不 是 很 突 出,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O O O,-1 -1 -1 -1 -1 -1 0 0 0 0 0
至 少 这 样 的 外 型 给 人 一 种 成 熟 稳 重 的 感 觉,O O O O O B-ASP I-ASP O O O O O O O O O O O,0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0
整 机 设 计 具 有 人 性 化,B-ASP I-ASP I-ASP I-ASP O O O O O,1 1 1 1 0 0 0 0 0
易 用 性 不 错,B-ASP I-ASP I-ASP O O,1 1 1 0 0
效 率 比 使 用 触 摸 板 要 高,B-ASP I-ASP O O O O O O O O,1 1 0 0 0 0 0 0 0 0
键 盘 手 感 也 非 常 不 错,B-ASP I-ASP I-ASP I-ASP O O O O O,1 1 1 1 0 0 0 0 0
散 热 设 计 还 不 错,B-ASP I-ASP I-ASP I-ASP O O O,1 1 1 1 0 0 0
外 部 接 口 的 比 较 齐 全,B-ASP I-ASP I-ASP I-ASP O O O O O,1 1 1 1 0 0 0 0 0
整 体 性 能 不 错,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
得 益 于 高 达 的 主 频 和 所 带 来 的 强 劲 性 能,O O O O O O O O O O O O O O O B-ASP I-ASP,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
另 外 重 量 也 比 较 大,O O B-ASP I-ASP O O O O,0 0 -1 -1 0 0 0 0
在 便 携 性 上 并 不 太 好,O B-ASP I-ASP I-ASP O O O O O,0 -1 -1 -1 0 0 0 0 0
在 同 配 置 机 型 中 价 格 比 较 高,O O O O O O O B-ASP I-ASP O O O,0 0 0 0 0 0 0 1 1 0 0 0
显 卡 虽 然 比 其 它 的 集 成 显 卡 好 点,B-ASP I-ASP O O O O O O O O O O O O,1 1 0 0 0 0 0 0 0 0 0 0 0 0
不 过 屏 幕 表 现 还 不 错,O O B-ASP I-ASP I-ASP I-ASP O O O,0 0 1 1 1 1 0 0 0
亮 度 足 够,B-ASP I-ASP O O,1 1 0 0
屏 幕 色 彩 都 很 丰 富,B-ASP I-ASP I-ASP I-ASP O O O O,1 1 1 1 0 0 0 0
对 比 度 高,B-ASP I-ASP I-ASP O,1 1 1 0
可 视 角 度 大,B-ASP I-ASP I-ASP I-ASP O,1 1 1 1 0
响 应 速 度 也 较 快,B-ASP I-ASP I-ASP I-ASP O O O,1 1 1 1 0 0 0
某 些 配 置 不 太 合 理,O O B-ASP I-ASP O O O O,0 0 -1 -1 0 0 0 0
接 口 设 计 不 合 理,B-ASP I-ASP I-ASP I-ASP O O O,-1 -1 -1 -1 0 0 0
从 液 晶 屏 幕 的 实 际 情 况 来 看 在 亮 度 对 比 度 以 及 可 视 角 度 上 都 相 当 不 错,O O O O O O O O O O O O O B-ASP I-ASP O O O O O O O O O O O O O O O,0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
设 计 风 格 还 是 过 于 保 守,B-ASP I-ASP I-ASP I-ASP O O O O O O,-1 -1 -1 -1 0 0 0 0 0 0
的 声 音 效 果 不 是 很 理 想,O B-ASP I-ASP I-ASP I-ASP O O O O O,0 -1 -1 -1 -1 0 0 0 0 0
一 直 延 续 笔 记 本 音 质 不 佳 的 诟 病,O O O O O O O B-ASP I-ASP O O O O O,0 0 0 0 0 0 0 -1 -1 0 0 0 0 0
于 轻 薄 概 念 相 呼 应 的 是 它 简 约 的 线 条 设 计,O O O O O O O O O O O O O O B-ASP I-ASP I-ASP I-ASP,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1
带 有 丰 富 的 扩 展 接 口,O O O O O B-ASP I-ASP I-ASP I-ASP,0 0 0 0 0 1 1 1 1
还 采 用 了 现 在 已 经 完 全 被 消 费 者 所 接 受 并 且 追 棒 的 贵 丽 宽 屏 显 示 屏,O O O O O O O O O O O O O O O O O O O O O O B-ASP I-ASP O O O O O,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0
比 前 两 代 机 型 的 屏 幕 不 管 在 色 彩 亮 度 方 面 都 有 非 常 大 的 提 高,O O O O O O O O O O O O B-ASP I-ASP O O O O O O O O O O O O,0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
键 盘 按 键 手 感 还 不 错,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O,1 1 1 1 1 1 0 0 0
回 弹 力 较 软,B-ASP I-ASP I-ASP O O,-1 -1 -1 0 0
按 键 时 支 架 噪 音 处 理 得 比 较 好,O O O B-ASP I-ASP I-ASP I-ASP O O O O O O,0 0 0 1 1 1 1 0 0 0 0 0 0
包 括 按 键 碰 击 基 板 的 噪 音 也 比 较 轻 微,O O O O O O O O O B-ASP I-ASP O O O O O,0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0
价 格 偏 高,B-ASP I-ASP O O,-1 -1 0 0
机 器 外 形 设 计 得 相 当 不 错,O O B-ASP I-ASP I-ASP I-ASP O O O O O,0 0 1 1 1 1 0 0 0 0 0
的 用 料 和 材 质 都 不 错,O B-ASP I-ASP O O O O O O,0 1 1 0 0 0 0 0 0
牢 靠 的 镁 铝 合 金 的 液 晶 后 板,O O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP,0 0 0 1 1 1 1 1 1 1 1 1
有 效 的 减 少 了 本 本 的 重 量,O O O O O O O O O B-ASP I-ASP,0 0 0 0 0 0 0 0 0 1 1
虽 然 机 器 的 配 置 挺 高 的,O O O O O B-ASP I-ASP O O O,0 0 0 0 0 1 1 0 0 0
但 是 散 热 做 的 相 当 不 错,O O B-ASP I-ASP O O O O O O,0 0 1 1 0 0 0 0 0 0
拥 有 的 高 分 辨 率,O O O O B-ASP I-ASP I-ASP,0 0 0 0 1 1 1
屏 幕 亮 度 也 很 不 错,B-ASP I-ASP I-ASP I-ASP O O O O,1 1 1 1 0 0 0 0
音 箱 声 音 在 中 高 音 方 面 表 现 一 般,B-ASP I-ASP I-ASP I-ASP O O O O O O O O O O,-1 -1 -1 -1 0 0 0 0 0 0 0 0 0 0
还 有 一 点 就 是 价 格 太 高,O O O O O O B-ASP I-ASP O O,0 0 0 0 0 0 -1 -1 0 0
这 款 笔 记 本 最 大 的 优 点 就 是 提 供 主 流 的 性 能,O O O O O O O O O O O O O O O O O B-ASP I-ASP,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
此 外 它 的 屏 幕 质 量 属 于 最 好 的,O O O O B-ASP I-ASP I-ASP I-ASP O O O O O,0 0 0 0 1 1 1 1 0 0 0 0 0
色 彩 艳 丽,B-ASP I-ASP O O,1 1 0 0
文 字 清 晰,B-ASP I-ASP O O,1 1 0 0
的 做 工 一 向 出 色,O B-ASP I-ASP O O O O,0 1 1 0 0 0 0
整 体 外 观 优 雅,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
键 盘 敲 击 时 手 感 很 好,O O O O O B-ASP I-ASP O O,0 0 0 0 0 1 1 0 0
还 是 大 尺 寸 键 盘,O O O O O B-ASP I-ASP,0 0 0 0 0 1 1
键 盘 下 的 触 摸 板 定 位 准 确 灵 活,O O O O B-ASP I-ASP I-ASP O O O O O O,0 0 0 0 1 1 1 0 0 0 0 0 0
工 作 声 音 仍 然 非 常 小,B-ASP I-ASP I-ASP I-ASP O O O O O,1 1 1 1 0 0 0 0 0
硬 盘 的 声 音 基 本 听 不 见,B-ASP I-ASP I-ASP I-ASP I-ASP O O O O O,1 1 1 1 1 0 0 0 0 0
风 扇 声 音 虽 然 可 以 听 见 但 不 引 人 注 意,B-ASP I-ASP I-ASP I-ASP O O O O O O O O O O O O,1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0
光 驱 读 盘 和 刻 录 时 声 音 都 不 大,O O O O O O O O B-ASP I-ASP O O O,0 0 0 0 0 0 0 0 1 1 0 0 0
随 机 还 带 有 丰 富 的 软 件,O O O O O O O O B-ASP I-ASP,0 0 0 0 0 0 0 0 1 1
并 且 价 格 透 明,O O B-ASP I-ASP O O,0 0 1 1 0 0
各 个 接 口 的 间 距 也 比 较 小,O O B-ASP I-ASP I-ASP I-ASP I-ASP O O O O,0 0 -1 -1 -1 -1 -1 0 0 0 0
散 热 效 果 一 般,B-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 0 0
笔 记 本 外 壳 材 料 非 常 好,O O O B-ASP I-ASP I-ASP I-ASP O O O,0 0 0 1 1 1 1 0 0 0
不 过 外 壳 的 硬 度 略 显 不 够,O O B-ASP I-ASP I-ASP I-ASP I-ASP O O O O,0 0 -1 -1 -1 -1 -1 0 0 0 0
随 机 的 软 件 太 多,O O O B-ASP I-ASP O O,0 0 0 -1 -1 0 0
是 个 很 不 错 的 杀 毒 软 件,O O O O O O B-ASP I-ASP I-ASP I-ASP,0 0 0 0 0 0 1 1 1 1
机 器 键 盘 分 布 合 理,O O B-ASP I-ASP I-ASP I-ASP O O,0 0 1 1 1 1 0 0
触 摸 屏 也 很 灵 光,B-ASP I-ASP I-ASP O O O O,1 1 1 0 0 0 0
位 置 分 布 很 合 理,B-ASP I-ASP I-ASP I-ASP O O O,1 1 1 1 0 0 0
因 为 它 的 位 置 十 分 好,O O O O B-ASP I-ASP O O O,0 0 0 0 1 1 0 0 0
信 号 也 很 强,B-ASP I-ASP O O O,1 1 0 0 0
声 音 不 算 饱 和,B-ASP I-ASP O O O O,-1 -1 0 0 0 0
觉 得 画 面 质 量 十 分 好,O O B-ASP I-ASP I-ASP I-ASP O O O,0 0 1 1 1 1 0 0 0
而 且 键 盘 表 面 能 感 觉 热,O O B-ASP I-ASP I-ASP I-ASP O O O O,0 0 -1 -1 -1 -1 0 0 0 0
发 热 量 方 面 实 在 是 比 的 小,B-ASP I-ASP I-ASP O O O O O O O O,1 1 1 0 0 0 0 0 0 0 0
寸 的 超 大 液 晶 屏 幕,O O O O B-ASP I-ASP I-ASP I-ASP,0 0 0 0 1 1 1 1
显 示 十 分 细 腻,B-ASP I-ASP O O O O,1 1 0 0 0 0
键 盘 个 人 感 觉 还 不 错,B-ASP I-ASP O O O O O O O,1 1 0 0 0 0 0 0 0
接 口 丰 富 实 用,B-ASP I-ASP O O O O,1 1 0 0 0 0
很 方 便 操 作,O O O B-ASP I-ASP,0 0 0 1 1
其 中 我 觉 得 前 端 两 个 音 量 按 钮 很 方 便,O O O O O O O O O B-ASP I-ASP I-ASP I-ASP O O O,0 0 0 0 0 0 0 0 0 1 1 1 1 0 0 0
两 个 前 置 小 扬 声 器 个 头 虽 小 但 音 色 个 人 感 觉 还 是 比 较 出 色 的,O O O O O O O O O O O O O B-ASP I-ASP O O O O O O O O O O O,0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0
但 是 散 热 做 的 很 不 错,O O B-ASP I-ASP O O O O O,0 0 1 1 0 0 0 0 0
还 有 就 是 在 噪 音 方 面 控 制 的 也 很 好,O O O O O B-ASP I-ASP I-ASP I-ASP O O O O O O,0 0 0 0 0 1 1 1 1 0 0 0 0 0 0
风 扇 声 音 不 大,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
配 置 尽 掀 前 卫 潮 流,B-ASP I-ASP O O O O O O,1 1 0 0 0 0 0 0
这 样 的 配 置 丝 毫 不 比 现 在 的 一 般 台 式 机 差,O O O B-ASP I-ASP O O O O O O O O O O O O O,0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
红 外 线 好 像 兼 容 性 不 好,O O O O O B-ASP I-ASP I-ASP O O,0 0 0 0 0 -1 -1 -1 0 0
性 能 强 劲,B-ASP I-ASP O O,1 1 0 0
电 池 使 用 时 间 比 较 另 人 满 意,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O O O O,1 1 1 1 1 1 0 0 0 0 0 0
个 小 时 待 机 一 点 不 虚 假,O O O B-ASP I-ASP O O O O O,0 0 0 1 1 0 0 0 0 0
还 有 一 点 不 得 不 说 的 就 是 快 捷 的 机 器 侧 面 音 量 控 制 钮 真 的 很 方 便,O O O O O O O O O O O O O O O O O O B-ASP I-ASP I-ASP I-ASP I-ASP O O O O O,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 0 0 0 0 0
机 器 机 身 轻 薄 设 计 加 上 电 池 重 量 为,B-ASP I-ASP I-ASP I-ASP O O O O O O O O O O O,1 1 1 1 0 0 0 0 0 0 0 0 0 0 0
光 驱 读 盘 的 速 度 也 很 快,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O,1 1 1 1 1 1 1 0 0 0
电 池 放 置 位 置 感 觉 不 舒 服,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O O O,-1 -1 -1 -1 -1 -1 0 0 0 0 0
键 盘 手 感 偏 硬,B-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 0 0
触 摸 板 在 手 出 汗 多 的 情 况 下 不 太 灵 敏,B-ASP I-ASP I-ASP O O O O O O O O O O O O O,-1 -1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0
下 面 指 示 灯 的 塑 料 棉 板 也 不 是 很 耐 磨,O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O O O O,0 0 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0 0 0
屏 幕 里 边 框 塑 料 相 比 其 他 地 方 可 能 要 薄 一 些,B-ASP I-ASP I-ASP I-ASP I-ASP O O O O O O O O O O O O O O,-1 -1 -1 -1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
快 捷 键 很 少,B-ASP I-ASP I-ASP O O,-1 -1 -1 0 0
发 热 较 高,B-ASP I-ASP O O,-1 -1 0 0
手 感 舒 适 也 不 打 滑,B-ASP I-ASP O O O O O O,-1 -1 0 0 0 0 0 0
屏 幕 亮 度 不 错,B-ASP I-ASP I-ASP I-ASP O O,1 1 1 1 0 0
看 片 效 果 也 很 清 晰 流 畅,O O B-ASP I-ASP O O O O O O,0 0 1 1 0 0 0 0 0 0
它 的 散 热 系 统 很 不 错,O O B-ASP I-ASP I-ASP I-ASP O O O,0 0 1 1 1 1 0 0 0
做 工 一 丝 不 苟,B-ASP I-ASP O O O O,1 1 0 0 0 0
虽 配 备 了 英 寸 的 流 明 高 亮 的 屏 幕,O O O O O O O O O O O O B-ASP I-ASP,0 0 0 0 0 0 0 0 0 0 0 0 1 1
没 有 采 用 时 下 异 常 流 行 的 宽 屏 设 计,O O O O O O O O O O O B-ASP I-ASP I-ASP I-ASP,0 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1
但 是 可 视 角 度 不 很 理 想,O O B-ASP I-ASP I-ASP I-ASP O O O O,0 0 -1 -1 -1 -1 0 0 0 0
水 平 可 视 角 度 还 比 较 大,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O O,1 1 1 1 1 1 0 0 0 0
但 垂 直 可 视 角 度 效 果 非 常 不 好,O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O O,0 -1 -1 -1 -1 -1 -1 -1 -1 0 0 0 0
键 盘 分 布 有 些 紧 凑,B-ASP I-ASP I-ASP I-ASP O O O O,-1 -1 -1 -1 0 0 0 0
键 距 不 算 大,B-ASP I-ASP O O O,-1 -1 0 0 0
空 格 键 相 对 于 其 他 键 盘 相 对 短 了 些,B-ASP I-ASP I-ASP O O O O O O O O O O O O,-1 -1 -1 0 0 0 0 0 0 0 0 0 0 0 0
按 键 偏 小,B-ASP I-ASP O O,-1 -1 0 0
但 手 感 一 般,O B-ASP I-ASP O O,0 -1 -1 0 0
弹 性 偏 软,B-ASP I-ASP O O,-1 -1 0 0
左 右 按 键 结 合 不 够 紧 密,O O B-ASP I-ASP O O O O O O,0 0 -1 -1 0 0 0 0 0 0
按 键 有 点 松,B-ASP I-ASP O O O,-1 -1 0 0 0
弹 性 明 显 不 够,B-ASP I-ASP O O O O,-1 -1 0 0 0 0
因 此 手 感 差 了 很 多,O O B-ASP I-ASP O O O O,0 0 -1 -1 0 0 0 0
接 口 较 为 紧 密,B-ASP I-ASP O O O O,-1 -1 0 0 0 0
使 其 性 能 提 升 了,O O B-ASP I-ASP O O O,0 0 1 1 0 0 0
的 高 亮 液 晶 宽 屏,O O O B-ASP I-ASP I-ASP I-ASP,0 0 0 1 1 1 1
惊 人 海 量 的 内 涵 加 上 强 大 的 扩 展 性 能 使 我 们 与 她 沟 通 更 加 方 便 快 捷,O O O O O O O O O O O O B-ASP I-ASP I-ASP O O O O O O O O O O O O O O,0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
她 影 音 画 质 音 效 俱 佳,O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O,0 1 1 1 1 1 1 0 0
按 键 柔 软 不 生 硬,B-ASP I-ASP O O O O O,1 1 0 0 0 0 0
手 感 上 佳,B-ASP I-ASP O O,1 1 0 0
性 能 强 劲,B-ASP I-ASP O O,1 1 0 0
丰 富 的 扩 展 接 口,O O O B-ASP I-ASP I-ASP I-ASP,0 0 0 1 1 1 1
价 格 低 廉 的 同 时 保 证 用 料 实 在 及 做 工 精 细 是 该 机 一 大 特 点,B-ASP I-ASP O O O O O O O O O O O O O O O O O O O O O O O,1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
设 计 中 规 中 矩,B-ASP I-ASP O O O O,-1 -1 0 0 0 0
接 口 齐 全 也 是 该 机 的 显 著 特 点,B-ASP I-ASP O O O O O O O O O O O,1 1 0 0 0 0 0 0 0 0 0 0 0
另 外 该 机 扩 展 性 很 强,O O O O B-ASP I-ASP I-ASP O O,0 0 0 0 1 1 1 0 0
在 配 置 媒 体 播 放 环 境 时 可 以 通 过 它 获 得 极 美 的 环 绕 音 质 效 果,O O O O O O O O O O O O O O O O O O O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 1 1 1
关 键 这 些 可 拆 装 件 设 计 得 非 常 合 理,O O O O O O O O B-ASP I-ASP O O O O O,0 0 0 0 0 0 0 0 1 1 0 0 0 0 0
所 配 的 长 效 电 池 表 现 也 很 出 色,O O O O O B-ASP I-ASP O O O O O O,0 0 0 0 0 1 1 0 0 0 0 0 0
整 体 性 能 方 面 也 十 分 令 人 满 意,O O B-ASP I-ASP O O O O O O O O O,0 0 1 1 0 0 0 0 0 0 0 0 0
但 是 它 的 性 能 其 实 并 不 弱,O O O O B-ASP I-ASP O O O O O,0 0 0 0 1 1 0 0 0 0 0
采 用 的 转 日 立 硬 盘 表 现 亦 非 常 出 色,O O O O O O B-ASP I-ASP O O O O O O O,0 0 0 0 0 0 1 1 0 0 0 0 0 0 0
噪 音 处 理 方 面 提 升 很 多,B-ASP I-ASP O O O O O O O O,1 1 0 0 0 0 0 0 0 0
散 热 处 理 也 较 理 想,B-ASP I-ASP I-ASP I-ASP O O O O,1 1 1 1 0 0 0 0
从 较 高 的 整 体 性 能 表 现 来 看,O O O O O O B-ASP I-ASP O O O O,0 0 0 0 0 0 1 1 0 0 0 0
该 机 在 内 部 结 构 设 计 上 的 确 是 有 过 人 之 处,O O O B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O O O O O O O O,0 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0
采 用 低 转 速 硬 盘 及 相 对 较 低 的 硬 件 配 置 使 得 整 机 运 行 速 度 不 是 很 理 想,O O O O O O O O O O O O O B-ASP I-ASP I-ASP I-ASP O O O O O O O O O O O O O,0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0
屏 幕 显 示 效 果 平 平,B-ASP I-ASP I-ASP I-ASP I-ASP I-ASP O O,-1 -1 -1 -1 -1 -1 0 0
扬 声 器 音 质 相 对 较 差,B-ASP I-ASP I-ASP I-ASP I-ASP O O O O,-1 -1 -1 -1 -1 0 0 0 0
而 且 音 量 不 大,O O B-ASP I-ASP O O,0 0 -1 -1 0 0
键 盘 手 感 也 一 般,B-ASP I-ASP I-ASP I-ASP O O O,-1 -1 -1 -1 0 0 0
使 其 从 整 体 上 看 起 来 显 得 高 贵 大 方,O O O B-ASP I-ASP O O O O O O O O O O,0 0 0 1 1 0 0 0 0 0 0 0 0 0 0
在 做 工 上 保 持 东 芝 一 贯 优 良 的 作 风,O B-ASP I-ASP O O O O O O O O O O O O,0 1 1 0 0 0 0 0 0 0 0 0 0 0 0
整 体 感 觉 相 当 好,B-ASP I-ASP O O O O O,1 1 0 0 0 0 0
在 重 量 上 也 控 制 的 相 当 好,O B-ASP I-ASP O O O O O O O O,0 1 1 0 0 0 0 0 0 0 0
该 显 示 屏 的 亮 度 和 清 晰 度 相 当 不 错,O O O O O B-ASP I-ASP O O O O O O O O,0 0 0 0 0 1 1 0 0 0 0 0 0 0 0
不 过 在 色 彩 方 面 就 显 得 不 够 鲜 艳 和 饱 满,O O O B-ASP I-ASP I-ASP I-ASP O O O O O O O O O O,0 0 0 -1 -1 -1 -1 0 0 0 0 0 0 0 0 0 0
在 手 感 方 面 的 这 个 键 盘 还 算 不 错,O O O O O O O O B-ASP I-ASP O O O O,0 0 0 0 0 0 0 0 1 1 0 0 0 0
回 弹 力 适 中,B-ASP I-ASP I-ASP O O,1 1 1 0 0
但 按 键 时 按 键 碰 击 基 板 的 噪 音 较 大,O O O O O O O O O O O B-ASP I-ASP O O,0 0 0 0 0 0 0 0 0 0 0 -1 -1 0 0
面 积 相 当 较 大,B-ASP I-ASP O O O O,-1 -1 0 0 0 0
但 始 终 还 是 没 能 摆 脱 便 携 式 笔 记 本 音 响 系 统 不 佳 的 诟 病,O O O O O O O O O O O O O O O B-ASP I-ASP I-ASP I-ASP O O O O O,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 -1 -1 -1 -1 0 0 0 0 0
虽 然 音 量 足 够,O O B-ASP I-ASP O O,0 0 1 1 0 0
但 效 果 还 是 不 能 令 人 满 意,O B-ASP I-ASP O O O O O O O O,0 -1 -1 0 0 0 0 0 0 0 0
因 而 在 噪 声 控 制 上 明 显 要 比 前 两 代 机 型 差 上 一 点,O O O B-ASP I-ASP I-ASP I-ASP O O O O O O O O O O O O O O,0 0 0 -1 -1 -1 -1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
人 性 化 的 设 计 是 一 款 英 寸 宽 屏 产 品,O O O O B-ASP I-ASP O O O O O O O O O,0 0 0 0 1 1 0 0 0 0 0 0 0 0 0
操 作 方 便,B-ASP I-ASP O O,1 1 0 0
合 理 的 按 键 布 局 白 色 的 触 摸 板 与 一 体 化 设 计 的 左 右 按 键 镶 嵌 在 腕 托 中 央,O O O B-ASP I-ASP I-ASP I-ASP O O O O O O O O O O O O O O O O O O O O O O O O,0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
